,0,1,2,3,4,5,6,7,8,9,10,11,12,label
73,-372.77112,66.710976,-27.826172,18.44397,-21.454906,-0.17091544,-6.320982,-0.28723383,-11.225825,-4.3632326,-13.704634,-8.061539,0.58872426,1
74,-331.71048,76.115906,-36.229206,34.643345,-22.079458,-3.6982076,-10.57683,-10.278586,-9.576155,-5.8038774,-12.002412,-8.557221,-1.0453529,1
75,-356.5024,59.635735,-13.615129,22.283463,-15.312347,-2.0860872,-2.883354,-11.723688,-8.580593,-3.6661973,-14.247643,-8.590266,0.16080357,1
76,-302.61386,66.87293,-29.112852,19.253332,-15.754259,1.1197462,-13.44108,-12.42404,-9.77657,-7.1655235,-17.088858,-7.1969066,-1.8609015,1
77,-345.63812,94.840454,-38.471233,22.205162,-26.31357,-2.8165443,-6.286334,-16.815619,-7.813131,-3.9889903,-12.374887,-7.2896304,-1.8563718,1
78,-395.6085,73.95195,-22.886786,20.942478,-21.71207,5.799596,-7.0693693,-8.141914,-6.1126995,-4.0231795,-8.865,-8.105734,-0.27706805,1
79,-346.13016,75.887596,-30.28579,30.5403,-19.25996,-8.048797,-10.3735695,-14.203887,-5.0344152,-5.02514,-14.698866,-7.286637,-2.0542722,1
80,-332.457,70.24396,-30.783344,19.282053,-19.647324,-6.9852433,-12.58062,-6.2056217,-7.7988386,-5.717439,-13.082952,-6.219836,1.7833413,1
81,-434.60117,54.041836,-24.54512,33.494762,-13.991364,6.314982,-3.7636657,-1.5677129,-6.1567054,-6.6762056,-8.566137,-4.262497,-2.3913279,1
82,-385.23807,50.30851,-11.678456,25.335926,-9.296554,-5.1772294,-3.6993532,-6.0852413,-8.530625,-5.5516825,-12.460249,-4.6142654,-1.1950597,1
83,-381.2984,58.01086,-22.035458,29.663633,-24.819273,-4.5147734,-5.8889112,-7.6353006,-6.1711693,-5.0873437,-13.683649,-3.3197138,1.5245762,1
84,-346.4544,83.50342,-40.87395,36.845387,-22.663404,-7.3339725,-9.16369,-12.192283,-6.9526854,-7.3644223,-15.289195,-6.5626535,-0.55532503,1
85,-358.47678,84.54528,-32.787582,19.27959,-23.622131,-5.6063,-0.9337168,-10.581822,-8.248828,-6.1255484,-10.729111,-7.108566,-2.8582044,1
86,-316.90494,69.70585,-23.561377,33.024414,-23.30974,1.9713168,-6.2139792,-12.070237,-12.064631,-11.870019,-15.045923,-5.7401166,-3.2594159,1
87,-366.02136,67.376175,-25.330063,27.428402,-12.137465,-0.039526,-10.9643545,-7.045335,-4.3436475,-5.2478476,-11.292143,-4.772185,-1.310359,1
88,-372.84485,73.61505,-31.626768,31.795012,-21.138422,-0.6321701,-8.714263,-7.8755164,-2.3551867,-5.5542502,-11.29966,-5.448039,-0.3908029,1
89,-331.6507,77.0799,-40.74363,34.01378,-31.8446,0.2646305,-19.276937,-5.4655066,-10.457634,-6.9977784,-13.92935,-6.875815,-0.34518075,1
90,-365.70865,84.17358,-30.274483,14.545506,-20.635704,3.7858162,-12.433258,-9.106432,-4.7784977,-8.729214,-12.835436,-6.7556643,-0.4097431,1
91,-380.71814,74.164185,-31.387993,21.249893,-20.288582,1.2534387,-9.593354,-5.291366,-5.2656374,-2.9314542,-10.86226,-4.4396615,2.659322,1
92,-350.00732,66.05428,-37.927765,30.778742,-22.218782,-7.593248,-8.816375,-13.79137,-1.6946974,-8.13941,-10.2366,-4.176542,-1.6578231,1
